"Клеймо за време","Факултетен номер","Номер на въпроса","Цел на въпроса","Тип на въпроса","Въпрос","Опция 1","Опция 2","Опция 3","Опция 4","Верен отговор","Ниво на трудност","Обратна връзка при верен отговор","Обратна връзка при грешен отговор","Забележка"
"2013/04/02 12:12:26 сл.об. Гринуич+3","9999","1","Реферат по WWW.","","Колко време според вас отнема писането на реферат по WWW технологии?","20+ часа","10 часа","5 часа","1 час","1","5","Браво! Наистина времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Далече от истината! Времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Виж: http://moodle.le.tsdoit.org/pluginfile.php/842/mod_forum/attachment/139/wwwTech_Evaluation_Instructions_v3.pdf"
"2013/04/23 4:46:06 сл.об. Гринуич+3","9999","1","Реферат по WWW.","3","Какво е APM?","аpplication performance management","automatic performance management","application project management","automatic project management","1","3","Верен отговор! За повече информация по темата виж секция 4.1. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.1. от реферата.","http://en.wikipedia.org/wiki/Application_Performance_Management"
"2013/04/23 4:52:06 сл.об. Гринуич+3","9999","2","Реферат по WWW.","3","На коя компания принадлежи dynaTrace","Compuware","Compusoft","VMware","SAP","1","2","Верен отговор! За повече информация виж секция 4.2. от реферата.","Грешен отговор! За повече информация виж секция 4.2. от реферата","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/23 5:00:46 сл.об. Гринуич+3","9999","3","Реферат по WWW.","3","Как се нарича патентовата технология за тестване на dynaTrace?","PurePath","PathPure","CleanPath","PathClean","1","1","Верен отговор! За повече информация по темата виж секция 4.2.4. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.2.4. от реферата","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:16:53 сл.об. Гринуич+3","9999","4","Реферат на тема dynaTrace.","3","Кое от следните е версия на dynaTrace?","Test Center Edition","Tester Edition","Ultra Test Edition","Testing Center Edition","1","4","Верен отговор. За повече информация по темата виж секция 4.2 от реферата.","Грешен отговор. За повече информация по темата виж секция 4.2 от реферата.","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:23:43 сл.об. Гринуич+3","9999","5","Реферат на тема dynaTrace.","3","Как се казва безплатната версия на dynaTrace?","Ajax Edition","Test Centurion Edition","Free Edition","Tester Edition","1","4","Верен отговор! За повече информация по темата виж секция 4.3 от реферата.","Грешен отговор! За повече информация по темата виж секция 4.3 от реферата.","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/24 11:23:01 пр.об. Гринуич+3","9999","1","Реферат на тема JMeter","1","Някой знае ли как се стартира JMeter ","Да","Не","Мисля, че мога да го стартирам","Това нещо не е инсталирано и не работи","1","1","За повече информация посетете сайта на apache JMeter: http://jmeter.apache.org/","Виж секцията ''Как да се сдобием и инсталираме Apache JMeter'' от реферата !","Ако сме на друга операционна система различна от Windows, файл с какво разширение трябва да стартираме."
"2013/04/24 11:31:12 пр.об. Гринуич+3","9999","2","Реферат на тема JMeter","3","Нужно ли е да имаме инсталирана програма на нашата машина, за да може Apache JMeter да работи след като го свалим ?!?","Да, нужно е да имаме JVM v.6 или по-нова.","Не, трябва само да инсталираме JMeter","Трябва да ползваме Windows като операционна система","Нужно е да имаме инсталиран Google Chrome ","1","1","Браво !","Грешка, слушай  и чети повече !","Въпроса няма особености ."
"2013/04/24 11:38:20 пр.об. Гринуич+3","9999","3","Реферат на тема JMeter","3","Apache JMeter може да се ползва единствено за тестване на Web приложения","Не, това не е вярно","Да, това е вярно","Може да се използва  за тестване на Web приложения и Java обекти само","С apache JMeter не можем да тестваме нищо, може само да симулираме разни натоварвания върху различни програми и сървъри","1","3","Отлично.За  повече информация погледни в реферата или на адрес http://jmeter.apache.org/","Грешка! Виж характеристиките и разясненията за JMeter в реферата или прочети повече на официалния сайт.","няма особености линк към официалния сайт: http://jmeter.apache.org/"
"2013/04/24 11:46:45 пр.об. Гринуич+3","9999","4","Реферат на тема JMeter","1","Прибавянето на нови елементи става единствено като кликнем с десен бутон  върху елемент от дървото (tree) и изберем нов елемент от ‘’add’’ листа.","Не, това не е вярно.Нови елементи могат да бъдат добавени алтернативно и чрез опциите ''merge'' или ''open''.","Елементите се добавят сами в зависимост от това какъв тест искаме да пуснем.","Да, това е единствения начин.","Някои тестове и симулаии не разполагат с елементи, а само с готови статистики и графики с готовата информация/","1","3","Отлично! Прочел си правилно :)","Грешка.Елементите са основни за всички функционалности на JMeter и могат да се добавят и чрез open и merge също.","Ако аз съм объркал нещо, моля да ме извините :) :D"
"2013/04/24 11:55:18 пр.об. Гринуич+3","9999","5","Реферат на тема JSP","3","Кои елементи са начална точка за всеки един тестови план в Apache JMeter ?","Това са елементите на нишковите групи (thread groups)","Това са Controllers and Samplers","Всички елементи могат да се разглеждат като начална точка на тестовия план.","Това са таймерите.","1","4","Отлично! Разбрал си, че без елементите на нишковата група не може да се започне нов тестови план.Винаги имаме поне един thread !!!","Погледни по-добре реферата :P ","В реферата не са описани всички елементи на Apache JMeter, а само някои от най-важните !!!"
"2013/04/27 12:05:45 сл.об. Гринуич+3","9999","1","Реферат на тема JSP","3","Кое не е предимство на JSP в сравнвние с други технологии?","Предимство на JSP срещу АSP  е, че е написана на Java","Предимство на JSP срещу Static HTML   е, че е не съдържа динамична информация","Предимство на JSP срещу SSI  е, че се използва в по-големи  и сложни програми","Предимство на JSP срещу JavaScript  е, че има достъп до база данни","2","3","Това е правилният отговор!","Вие отговорихте грешно! Моля погледнете секцията: Предимства на JSP в сравнвние с други технологии","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:10:02 сл.об. Гринуич+3","9999","2","Реферат на тема JSP","3","Кое от следните е синтаксис на Scriptlet?","<% code fragment %>","<%= expression %>","<%@ page ... %>","<%@ page attribute=""value"" %>","1","3","Поздравление,това е правилният отговор!","Грешен отговор! Моля погледнете JSP- синтаксис!","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:13:03 сл.об. Гринуич+3","9999","3","Реферат на тема JSP","3","Кое не е директивен таг?","<%@ page ... %>","<%@ include ... %>","<%@ taglib ... %>","<%= expression %>","4","3","Поздравление,това е правилният отговор!","Това е грешен отговор!","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:17:36 сл.об. Гринуич+3","9999","4","Реферат на тема VbScript","3","Кое от изброените неща не е вярно за JSP?","Позволено е вмъкване на Java код в HTML страници","Повечето тагове завършват с @>","JSP е технология за web-странци","Повечето тагове започват с  <%","2","3","Поздравление,това е правилният отговор!","Грешен отговор!","http://www.tutorialspoint.com/jsp/ "
"2013/04/27 12:21:38 сл.об. Гринуич+3","9999","5","Реферат на тема VbScript","3","Коя от стъпките не е следвана от JSP? ","Компилаци","Инициализация","Изпълнение","Всички са следвани от JSP","4","3","Поздравление,това е правилният отговор!","Грешен отговор!","http://www.tutorialspoint.com/jsp/ "
"2013/04/29 1:49:02 сл.об. Гринуич+3","9999","1","Реферат на тема VbScript","3","Кой от следните модели на работа използва технологията ASP?","Request-response","Get-send","Search-retrieve","GET-POST","1","3","Правилен отговор!","Грешка, прочети отново секцията за модели на ASP.","Виж в реферата"
"2013/04/29 1:49:07 сл.об. Гринуич+3","9999","1","Реферат на тема VbScript","3","Кой от следните модели на работа използва технологията ASP?","Request-response","Get-send","Search-retrieve","GET-POST","1","3","Правилен отговор!","Грешка, прочети отново секцията за модели на ASP.","Виж в реферата"
"2013/04/29 1:50:21 сл.об. Гринуич+3","9999","2","Реферат на тема VbScript","3","В какво трябва да се огради даден блок от код, написан на езика VBScript?","<asp>…</asp>","<% … %>","<# …#>","<vbscript>…</vbscript>","2","2","Браво!","Грешка!","Виж секцията за VBScript."
"2013/04/29 1:52:16 сл.об. Гринуич+3","9999","3","Реферат на тема drag and drop","3","Коя от следните конструкции ще дефинира променливата “number” в ASP?","def number","dim number","declare number ","describe number","2","2","Браво, това е верният отговор!","Това не е верният отговор. Погледни секцията за дефиниране на променливи от реферата.",":)"
"2024/05/27 9:57:44 пр.об. Гринуич+3","9999","5","Реферат на тема drag and drop","1","Каква стойност трябва да има атрибутът draggable, за да се активира влаченето?","true","false","yes","enabled","1","1","Отлично! ","Грешка! За повече информация по темата ""Примери"" от реферата.","Не"
"2024/05/27 9:59:56 пр.об. Гринуич+3","9999","6","Реферат на тема drag and drop","2","Коя функция позволява предотвратяване на действия по подразбиране при пускане на елемент?","preventDefault()","stopPropagation()","cancel()","halt()","1","2","Отлично!","Грешка! За повече информация по темата виж ""Примери"" от реферата.","Не"
"2024/05/27 1:00:34 сл.об. Гринуич+3","9999","7 ","Реферат на тема drag and drop","3","Каква е ролята на dataTransfer обекта в Drag and Drop API?","Трансфер на данни между влачени и пуснати елементи","Управление на анимации при влачене","Настройка на стилове за влачените елементи","Изпращане на HTTP заявки","1","3","Верен отговор. Отлично!","Грешка! За повече информация по темата виж ""HTML drag and drop API"" от реферата.","Не"
"2024/05/27 1:02:51 сл.об. Гринуич+3","9999","8","Реферат на тема drag and drop","2","Кое от следните не е събитие, свързано с Drag and Drop API?","dragcomplete","dragstart","dragover","dragleave","1","3","Верен отговор. Отлично!","Грешка! За повече информация по темата виж ""Таблица 1"" от реферата.","Не"
"2024/05/30 11:51:16 сл.об. Гринуич+3","9999","1","Реферат на тема drag and drop","3","Какво означава CSSOM?","Cascading Style Sheets Optimization Method","CSS Object Model ","Custom Style Sheets Object Management","Computed Style Sheets Object Mapping","2","1","Правилен отговор!","Грешен отговор!","Няма особености на въпроса"
"2013/04/02 12:12:26 сл.об. Гринуич+3","8888","1","Реферат по WWW.","","Колко време според вас отнема писането на реферат по WWW технологии?","20+ часа","10 часа","5 часа","1 час","1","5","Браво! Наистина времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Далече от истината! Времето за писане на един реферат е между 20 и 30 часа. Виж информацията в мудъл за разпределението по часове.","Виж: http://moodle.le.tsdoit.org/pluginfile.php/842/mod_forum/attachment/139/wwwTech_Evaluation_Instructions_v3.pdf"
"2013/04/23 4:46:06 сл.об. Гринуич+3","8888","1","Реферат по WWW.","3","Какво е APM?","аpplication performance management","automatic performance management","application project management","automatic project management","1","3","Верен отговор! За повече информация по темата виж секция 4.1. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.1. от реферата.","http://en.wikipedia.org/wiki/Application_Performance_Management"
"2013/04/23 4:52:06 сл.об. Гринуич+3","8888","2","Реферат по WWW.","3","На коя компания принадлежи dynaTrace","Compuware","Compusoft","VMware","SAP","1","2","Верен отговор! За повече информация виж секция 4.2. от реферата.","Грешен отговор! За повече информация виж секция 4.2. от реферата","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/23 5:00:46 сл.об. Гринуич+3","8888","3","Реферат по WWW.","3","Как се нарича патентовата технология за тестване на dynaTrace?","PurePath","PathPure","CleanPath","PathClean","1","1","Верен отговор! За повече информация по темата виж секция 4.2.4. от реферата.","Грешен отговор! За повече информация по темата виж секция 4.2.4. от реферата","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:16:53 сл.об. Гринуич+3","8888","4","Реферат на тема dynaTrace.","3","Кое от следните е версия на dynaTrace?","Test Center Edition","Tester Edition","Ultra Test Edition","Testing Center Edition","1","4","Верен отговор. За повече информация по темата виж секция 4.2 от реферата.","Грешен отговор. За повече информация по темата виж секция 4.2 от реферата.","http://www.compuware.com/application-performance-management/compuware-apm.html"
"2013/04/23 5:23:43 сл.об. Гринуич+3","8888","5","Реферат на тема dynaTrace.","3","Как се казва безплатната версия на dynaTrace?","Ajax Edition","Test Centurion Edition","Free Edition","Tester Edition","1","4","Верен отговор! За повече информация по темата виж секция 4.3 от реферата.","Грешен отговор! За повече информация по темата виж секция 4.3 от реферата.","http://www.compuware.com/application-performance-management/dynatrace-test-center.html"
"2013/04/24 11:23:01 пр.об. Гринуич+3","8888","1","Реферат на тема JMeter","1","Някой знае ли как се стартира JMeter ","Да","Не","Мисля, че мога да го стартирам","Това нещо не е инсталирано и не работи","1","1","За повече информация посетете сайта на apache JMeter: http://jmeter.apache.org/","Виж секцията ''Как да се сдобием и инсталираме Apache JMeter'' от реферата !","Ако сме на друга операционна система различна от Windows, файл с какво разширение трябва да стартираме."
"2013/04/24 11:31:12 пр.об. Гринуич+3","8888","2","Реферат на тема JMeter","3","Нужно ли е да имаме инсталирана програма на нашата машина, за да може Apache JMeter да работи след като го свалим ?!?","Да, нужно е да имаме JVM v.6 или по-нова.","Не, трябва само да инсталираме JMeter","Трябва да ползваме Windows като операционна система","Нужно е да имаме инсталиран Google Chrome ","1","1","Браво !","Грешка, слушай  и чети повече !","Въпроса няма особености ."
"2013/04/24 11:38:20 пр.об. Гринуич+3","8888","3","Реферат на тема JMeter","3","Apache JMeter може да се ползва единствено за тестване на Web приложения","Не, това не е вярно","Да, това е вярно","Може да се използва  за тестване на Web приложения и Java обекти само","С apache JMeter не можем да тестваме нищо, може само да симулираме разни натоварвания върху различни програми и сървъри","1","3","Отлично.За  повече информация погледни в реферата или на адрес http://jmeter.apache.org/","Грешка! Виж характеристиките и разясненията за JMeter в реферата или прочети повече на официалния сайт.","няма особености линк към официалния сайт: http://jmeter.apache.org/"
"2013/04/24 11:46:45 пр.об. Гринуич+3","8888","4","Реферат на тема JMeter","1","Прибавянето на нови елементи става единствено като кликнем с десен бутон  върху елемент от дървото (tree) и изберем нов елемент от ‘’add’’ листа.","Не, това не е вярно.Нови елементи могат да бъдат добавени алтернативно и чрез опциите ''merge'' или ''open''.","Елементите се добавят сами в зависимост от това какъв тест искаме да пуснем.","Да, това е единствения начин.","Някои тестове и симулаии не разполагат с елементи, а само с готови статистики и графики с готовата информация/","1","3","Отлично! Прочел си правилно :)","Грешка.Елементите са основни за всички функционалности на JMeter и могат да се добавят и чрез open и merge също.","Ако аз съм объркал нещо, моля да ме извините :) :D"
